172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/tenant-mgt/images/multi_tenancy.png HTTP/1.1" 200 768 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/servicestore/images/servicePrinciple.png HTTP/1.1" 200 915 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/servicestore/images/serviceStore.png HTTP/1.1" 200 762 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/server-admin/images/restart.gif HTTP/1.1" 200 631 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/tenant-mgt/images/services1.gif HTTP/1.1" 200 608 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/scim/images/scim.png HTTP/1.1" 200 638 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/resources/images/resources.gif HTTP/1.1" 200 1028 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/log-view/images/script_gear.gif HTTP/1.1" 200 1082 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/generic-sts/images/sts.gif HTTP/1.1" 200 1019 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/sso-saml/images/sso.gif HTTP/1.1" 200 394 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/search/images/search-top.png HTTP/1.1" 200 785 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/oauth/images/oauth.gif HTTP/1.1" 200 1025 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/tracer/images/tracer.gif HTTP/1.1" 200 1058 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/oauth/images/my-oauth-apps.png HTTP/1.1" 200 819 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/scim/images/scim-my-provider.png HTTP/1.1" 200 682 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
